Live,Vivo
"Email Address","Dirección de correo electrónico"
"Forgot Your Password?","¿Olvidó su contraseña?"
"Ship To:","Enviar a:"
edit,editar
"Shipping Method:","Método de envío:"
Enabled,Habilitado
"Method Name","Nombre del método"
Title,Título
Mode,Modalidad
"API Password","Contraseña API"
Price,Precio
"Sort Order","Orden de aparición"
Type,Tipo
"Ship to Applicable Countries","Envío a países aplicables"
"Ship to Specific Countries","Envío a países específicos"
"Show Method if Not Applicable","Mostrar el método de envío, incluso si no se aplica"
"Displayed Error Message","Mensaje de error mostrado"
"We'll send your order confirmation here.","Aquí te enviaremos la confirmación de tu pedido."
"We were unable to find nearby locations for provided postcode.","No pudimos encontrar ubicaciones cercanas para la postal proporcionada."
"Please provide postcode to find nearest packstations.","Por favor, proporcione la postal para encontrar las packstations más cercanas."
"We could not preselect any packstation based on available information, please select it manually.","No pudimos preseleccionar ninguna packstation basada en la información disponible, por favor, selecciónela manualmente."
"Postal code","Código postal"
